,card_number,expiry_date,card_provider,date_payment_confirmed
10,4145662949755970,10/25,VISA 16 digit,2019-01-30
11,4150158657691,05/32,VISA 13 digit,2002-07-08
12,3583218047699840,06/32,JCB 16 digit,2004-11-04
13,6011887212979720,07/29,Discover,1996-04-05
14,6011592595426290,05/26,Discover,1993-04-27
15,213164174481249,08/29,JCB 15 digit,2020-04-22
16,6521667118670950,01/28,Discover,2008-12-04
17,2274876960738170,09/30,Mastercard,2000-06-26
18,6575242255783560,02/24,Discover,2020-01-09
19,4617848619884830000,03/31,VISA 19 digit,1998-10-01
20,4546958607493620,05/28,VISA 16 digit,1993-05-11
21,4671576682730,10/25,VISA 13 digit,2000-06-22
22,4009798496502850,10/23,VISA 16 digit,2019-01-22
23,30043592114296,04/27,Diners Club / Carte Blanche,1993-09-27
24,3534672147045390,01/23,JCB 16 digit,2007-04-13
25,4466728925689730000,01/31,VISA 19 digit,2008-04-20
26,4540308816293220000,02/32,VISA 19 digit,2009-12-31
27,564128564718,08/28,Maestro,2012-03-05
28,344884797663251,06/30,American Express,2004-04-10
29,3509093146400700,05/26,JCB 16 digit,2009-07-08
30,6011369698621020,04/29,Discover,2008-01-15
31,4264610789837620,04/24,VISA 16 digit,2021-08-26
32,180015756135190,03/31,JCB 15 digit,2006-01-28
33,3503542374654200,08/28,JCB 16 digit,2000-11-19
34,4158723133970670,05/25,VISA 16 digit,1999-03-15
35,4338477003933360,02/32,VISA 16 digit,2013-04-24
36,564984589809,08/30,Maestro,2005-02-28
37,4350714812589620,10/24,VISA 16 digit,2012-02-26
38,6537258455501990,01/23,Discover,2005-05-10
39,6520005527716070,12/22,Discover,2020-01-04
40,4092454363906180,12/23,VISA 16 digit,2016-08-09
41,3555499065337720,11/29,JCB 16 digit,2007-09-05
42,213133430820417,07/23,JCB 15 digit,2004-03-30
43,30382459793101,10/28,Diners Club / Carte Blanche,2013-05-12
44,60111111913046,09/23,Discover,1996-01-28
45,675964295934,09/27,Maestro,1996-05-26
46,6580954508196020,10/25,Discover,2000-03-03
47,379544388859480,05/31,American Express,2001-11-14
48,639051308133,02/31,Maestro,2012-04-08
49,?4971858637664481,04/24,VISA 16 digit,2016-11-17
0,676197624627,07/31,Maestro,2015-04-03
1,30436408634905,09/29,Diners Club / Carte Blanche,1994-02-28
2,30366098644395,09/28,Diners Club / Carte Blanche,2005-09-07
3,4507220961742,02/24,VISA 13 digit,2020-08-16
4,30240385709155,10/25,Diners Club / Carte Blanche,2014-08-23
5,4511109856138500000,09/32,VISA 19 digit,2002-08-26
6,3562364872068970,01/27,JCB 16 digit,1996-08-31
7,???3554954842403828,06/29,JCB 16 digit,1998-01-04
8,3550482967595170,05/24,JCB 16 digit,2020-02-28
9,30092025361172,08/31,Diners Club / Carte Blanche,2015-05-17
10,371842803993779,03/29,American Express,2002-12-10
11,3520167590602520,03/24,JCB 16 digit,2016-08-29
12,375231530935095,04/28,American Express,2003-05-11
13,30022003678867,07/29,Diners Club / Carte Blanche,2002-10-22
14,38586217093206,09/27,Diners Club / Carte Blanche,2007-01-10
15,4156466200099530,03/25,VISA 16 digit,1994-12-03
16,2709712362628980,11/23,Mastercard,2008-02-10
17,4945065482962,02/24,VISA 13 digit,2021-12-10
18,213158086066411,07/28,JCB 15 digit,2002-03-06
19,6011032421324050,08/26,Discover,1999-04-30
20,4298024899108470000,04/31,VISA 19 digit,1997-08-31
21,4728934417568480000,11/24,VISA 19 digit,2018-08-29
22,630438408647,06/32,Maestro,2006-02-05
23,3570908580178970,10/28,JCB 16 digit,2019-11-17
24,4778760137972740000,03/28,VISA 19 digit,2019-06-11
25,675928862621,08/23,Maestro,2021-06-20
26,60473404063,11/25,Maestro,2013-09-12
27,343307985261408,04/30,American Express,2001-03-19
28,4776353838549180,09/24,VISA 16 digit,2011-05-09
29,377784217735418,08/23,American Express,2000-07-08
30,4639559372817520000,05/25,VISA 19 digit,1995-11-30
31,4504415059883120,12/22,VISA 16 digit,2016-08-10
32,4809527881527350,03/28,VISA 16 digit,2007-09-20
33,30032904153787,02/28,Diners Club / Carte Blanche,1995-07-10
34,347336829249242,09/31,American Express,2014-09-18
35,342967169493241,01/30,American Express,2020-12-31
36,4219454000722,04/26,VISA 13 digit,2004-02-28
37,213104518066124,03/24,JCB 15 digit,1999-03-15
38,4622128589055,12/26,VISA 13 digit,1993-09-14
39,371936944317946,11/31,American Express,2009-01-29
40,4791469107393050,07/23,VISA 16 digit,2018-08-29
41,675950413236,07/28,Maestro,2012-07-24
42,4679538137016,03/23,VISA 13 digit,1993-07-24
43,4693033113026,10/27,VISA 13 digit,2010-10-11
44,501881998865,12/30,Maestro,2020-09-06
45,3590545776519630,10/26,JCB 16 digit,2001-02-14
46,4612812527008,03/27,VISA 13 digit,1999-05-02
47,3550239488250870,04/25,JCB 16 digit,2008-02-29
48,630433686932,12/31,Maestro,1993-03-21
49,4990470214162050,08/32,VISA 16 digit,2017-12-12
0,2274754309791240,05/28,Mastercard,1996-07-29
1,4228053675569200000,11/23,VISA 19 digit,2021-04-15
2,3599749538452090,11/24,JCB 16 digit,2019-12-16
3,4488752580176320,07/29,VISA 16 digit,2000-12-13
4,30194742669430,03/30,Diners Club / Carte Blanche,2002-11-19
5,213182755398418,11/29,JCB 15 digit,2019-07-19
6,349727483353734,02/23,American Express,2013-02-06
7,568855182685,06/30,Maestro,2020-09-11
8,6011088301581580,11/30,Discover,2014-04-26
9,3591590986549700,02/28,JCB 16 digit,2021-10-27
10,2402304101738120,02/23,Mastercard,2013-01-04
11,3505441583959840,09/32,JCB 16 digit,2006-04-30
12,6011050584614900,11/27,Discover,2020-12-01
13,5474744710901440,07/31,Mastercard,1996-12-27
14,3594682954996870,08/24,JCB 16 digit,1994-04-25
15,3544280597412630,03/30,JCB 16 digit,1996-10-03
16,4469949113559190,01/31,VISA 16 digit,2017-11-25
17,675976311992,03/30,Maestro,2004-06-07
18,180058410855191,08/32,JCB 15 digit,2019-11-30
19,676340850905,08/26,Maestro,2018-08-04
20,4220013336013850,11/29,VISA 16 digit,1994-09-01
21,639053661786,06/23,Maestro,2008-06-27
22,3564633851338810,02/24,JCB 16 digit,2000-09-01
23,630450157726,08/23,Maestro,2019-10-18
24,502078766933,01/24,Maestro,2013-05-27
25,3509486473439080,07/31,JCB 16 digit,1998-05-25
26,6523885800845220,04/28,Discover,2007-10-26
27,213167489692350,04/26,JCB 15 digit,2000-06-13
28,4448557375867320,02/27,VISA 16 digit,1997-08-11
29,3513337758781840,12/22,JCB 16 digit,2006-12-05
30,4646309879161270000,02/31,VISA 19 digit,2005-02-26
31,6525957073234300,10/23,Discover,2002-05-28
32,4148304313377070000,05/25,VISA 19 digit,1998-12-16
33,502055157668,01/28,Maestro,1997-11-26
34,5228477235151850,08/29,Mastercard,1994-11-16
35,4756148823560380,06/29,VISA 16 digit,1995-03-08
36,4449574576369830,07/30,VISA 16 digit,2020-10-02
37,36067227237804,05/24,Diners Club / Carte Blanche,2001-09-19
38,6011898044113730,12/22,Discover,2004-02-10
39,4384368300873540,12/26,VISA 16 digit,2006-01-03
40,4460276357723210,08/26,VISA 16 digit,1995-08-16
41,6011496717327490,12/25,Discover,2018-08-07
42,3570958544951070,12/31,JCB 16 digit,2002-03-06
43,3582338630005250,05/30,JCB 16 digit,2019-06-12
44,4918090733969250,04/25,VISA 16 digit,2017-05-03
45,372910072159254,09/30,American Express,1996-11-08
46,4142825885052,01/29,VISA 13 digit,2012-10-06
47,4042397857729200,04/25,VISA 16 digit,2020-03-18
48,3584024672800320,10/32,JCB 16 digit,2020-07-01
49,3552396381545980,06/27,JCB 16 digit,1999-11-02
0,371057400274487,08/31,American Express,2011-10-22
1,4399668143086,03/30,VISA 13 digit,2016-07-20
2,2430315595018000,10/31,Mastercard,2011-03-02
3,502039128959,09/24,Maestro,2020-02-11
4,5250978159702590,02/26,Mastercard,2015-01-22
5,4250793873225890000,10/27,VISA 19 digit,1996-03-25
6,676102529770,11/23,Maestro,2000-02-15
7,3585822148520500,04/32,JCB 16 digit,2008-09-22
8,6565149887140180,10/24,Discover,2022-08-10
9,3531394303686360,06/24,JCB 16 digit,2014-09-20
10,4112021701754750,01/26,VISA 16 digit,1996-03-14
11,4798266457279,01/29,VISA 13 digit,2010-12-06
12,4376071018145450000,12/27,VISA 19 digit,2013-03-23
13,4807060800885450,06/27,VISA 16 digit,2010-11-12
14,3551892480176750,11/32,JCB 16 digit,1998-04-10
15,4881836651900460,06/29,VISA 16 digit,1994-08-01
16,6560322773694370,07/28,Discover,2004-09-06
17,3509542577486750,06/25,JCB 16 digit,1996-11-15
18,3527223006219570,10/28,JCB 16 digit,2005-10-21
19,4778491402480,09/23,VISA 13 digit,2017-08-29
20,4992990318968800,11/26,VISA 16 digit,2000-12-14
21,4195690323177770,10/24,VISA 16 digit,2018-10-11
22,4879364868418510,12/31,VISA 16 digit,1996-07-16
23,36203990764456,11/24,Diners Club / Carte Blanche,2015-08-13
24,6011699977802880,05/31,Discover,2018-06-08
25,4255256184078520,12/28,VISA 16 digit,2020-12-11
26,30549338918055,01/26,Diners Club / Carte Blanche,1993-01-26
27,4528527933252070,08/32,VISA 16 digit,2009-07-12
28,6011175345214370,10/28,Discover,2012-05-06
29,2716341085852660,05/23,Mastercard,1999-05-15
30,180068798024534,05/29,JCB 15 digit,2002-04-09
31,4057380293759,04/28,VISA 13 digit,2022-11-10
32,6543550264501500,01/32,Discover,1996-04-16
33,30163856492574,03/23,Diners Club / Carte Blanche,1996-10-04
34,3537216664039270,05/32,JCB 16 digit,2018-09-08
35,2239755029497130,05/31,Mastercard,2016-01-11
36,4455318078827770,08/30,VISA 16 digit,2019-01-11
37,180040210512560,04/27,JCB 15 digit,2020-09-06
38,343571238765040,05/27,American Express,2008-11-14
39,213133126815481,11/27,JCB 15 digit,2008-12-11
40,2478596423677220,11/29,Mastercard,2015-08-29
41,6011652694986460,03/30,Discover,1996-12-17
42,30175330419866,08/30,Diners Club / Carte Blanche,2001-05-29
43,2384344539414570,09/23,Mastercard,2014-02-12
44,4574291328888710000,03/31,VISA 19 digit,2022-04-07
45,30226033525101,01/29,Diners Club / Carte Blanche,2011-11-24
46,4843336241438240,09/28,VISA 16 digit,1998-05-05
47,4754720811949470,12/29,VISA 16 digit,2007-04-27
48,3534039557891860,05/24,JCB 16 digit,2016-08-14
49,4410206147743,11/22,VISA 13 digit,1994-10-30
0,3511992632846910,12/25,JCB 16 digit,2017-07-17
1,4953143072786900,12/22,VISA 16 digit,2017-03-17
2,4973685909834,02/26,VISA 13 digit,2013-02-26
3,3515489953421250,02/25,JCB 16 digit,2013-08-12
4,6552676399134270,05/31,Discover,2010-04-07
5,180087457202785,08/24,JCB 15 digit,2000-04-13
6,30003676497983,02/29,Diners Club / Carte Blanche,2001-03-17
7,180049432732427,04/29,JCB 15 digit,2007-11-12
8,4622297557774960,09/28,VISA 16 digit,1997-09-11
9,4869615259599,03/31,VISA 13 digit,1994-03-17
10,6557663030337110,06/26,Discover,2004-10-28
11,371286204682393,04/27,American Express,1993-08-23
12,5586003885783590,04/31,Mastercard,2004-07-21
13,3508922970002280,04/29,JCB 16 digit,1993-04-24
14,4214248522321,01/32,VISA 13 digit,2006-04-01
15,3523784552277190,07/27,JCB 16 digit,2005-08-19
16,349777704175572,08/28,American Express,1994-05-10
17,375927731173325,03/30,American Express,2018-06-24
18,4060485550834,09/25,VISA 13 digit,2000-11-22
19,3508064302339420,08/29,JCB 16 digit,2005-04-09
20,5281712127436840,07/27,Mastercard,2001-12-26
21,4608461645133,11/27,VISA 13 digit,2010-02-09
22,3536684305640410,01/24,JCB 16 digit,2006-08-29
23,36430570495884,09/25,Diners Club / Carte Blanche,2012-12-19
24,4521190203012090,10/29,VISA 16 digit,2008-08-02
25,4041150101145,07/24,VISA 13 digit,2018-07-27
26,30350675094505,11/27,Diners Club / Carte Blanche,2001-09-24
27,585787028182,06/29,Maestro,2002-08-21
28,30505765109634,08/25,Diners Club / Carte Blanche,1997-10-02
29,630496151600,02/31,Maestro,2019-10-29
30,30535888793394,07/32,Diners Club / Carte Blanche,2013-09-21
31,4064806653749,04/29,VISA 13 digit,2018-05-06
32,6011982654011120,08/28,Discover,1998-02-20
33,2226666455714860,11/28,Mastercard,2005-12-29
34,180013014202092,09/23,JCB 15 digit,1995-01-09
35,4270806854196070,04/23,VISA 16 digit,1999-10-15
36,3508505361552920,05/25,JCB 16 digit,1996-03-31
37,180055378231365,10/26,JCB 15 digit,2006-08-22
38,4437869512603720,09/25,VISA 16 digit,2019-08-15
39,4081044914603690000,07/24,VISA 19 digit,2022-09-06
40,376565443700446,05/28,American Express,2002-12-13
41,2308981013074680,06/30,Mastercard,2018-04-15
42,371218054210660,09/29,American Express,2016-11-10
43,4639556041980890000,12/26,VISA 19 digit,1996-10-30
44,2252875267422480,10/24,Mastercard,1993-11-10
45,4985281167290020000,01/27,VISA 19 digit,2017-03-14
46,377627647615272,04/24,American Express,2003-07-14
47,213104947760784,02/27,JCB 15 digit,2003-09-26
48,3570296014307760,08/32,JCB 16 digit,2017-12-08
49,6011855038343090,01/23,Discover,2016-05-18
0,3588589103840880,07/26,JCB 16 digit,1992-12-16
1,3588597828317410,01/23,JCB 16 digit,1997-04-16
2,3553126504056180,11/28,JCB 16 digit,2001-06-01
3,30564783567505,06/27,Diners Club / Carte Blanche,2018-12-05
4,2720634764832380,02/27,Mastercard,2010-02-24
5,4276232450444860000,07/25,VISA 19 digit,2010-10-13
6,6011607308277440,05/30,Discover,1993-07-17
7,4331856967112130,11/32,VISA 16 digit,2016-11-06
8,4623126394782470000,10/29,VISA 19 digit,2021-04-26
9,3526757573667370,08/29,JCB 16 digit,2019-10-07
10,345868063546083,05/31,American Express,2002-08-06
11,180033061027705,10/27,JCB 15 digit,2013-03-26
12,4260209639187020000,06/31,VISA 19 digit,2018-08-22
13,4772370447118460,10/23,VISA 16 digit,1996-04-30
14,4007356983297,03/32,VISA 13 digit,2005-07-04
15,213117713462781,02/28,JCB 15 digit,2001-09-15
16,4295778796427,02/31,VISA 13 digit,2006-07-12
17,348963666610803,01/28,American Express,2013-07-12
18,4362739583664,02/24,VISA 13 digit,2011-09-02
19,4403772847165410,09/29,VISA 16 digit,2013-10-24
20,4105389207283640000,01/32,VISA 19 digit,1992-12-15
21,4599113640256500,05/30,VISA 16 digit,1993-12-23
22,3567978474663170,06/29,JCB 16 digit,2009-01-24
23,6011967640156280,01/32,Discover,2022-11-18
24,676392475940,06/29,Maestro,2011-06-12
25,6589431230204560,08/31,Discover,1994-07-30
26,36452520930810,02/28,Diners Club / Carte Blanche,1995-06-21
27,NULL,NULL,NULL,NULL
28,4168038747256640,06/30,VISA 16 digit,1995-10-24
29,373596541536799,02/24,American Express,2003-11-02
30,30313916974067,03/24,Diners Club / Carte Blanche,1995-09-14
31,6500569947413150,11/29,Discover,2012-08-19
32,30523024601960,02/29,Diners Club / Carte Blanche,2020-12-10
33,180056746770795,01/28,JCB 15 digit,2007-02-09
34,4141683604552610000,12/29,VISA 19 digit,2013-12-14
35,2293302667552070,07/27,Mastercard,1995-12-28
36,344880901527283,01/27,American Express,2000-05-23
37,4127304499740520000,08/25,VISA 19 digit,2019-09-02
38,4705388823684,09/26,VISA 13 digit,1993-05-01
39,503863523463,07/31,Maestro,1998-10-31
40,4312271503232,05/32,VISA 13 digit,2001-09-14
41,213135355809051,12/25,JCB 15 digit,2001-07-01
42,3562219981147900,11/29,JCB 16 digit,2015-04-28
43,213105203393830,08/31,JCB 15 digit,2003-10-30
44,3591695996938140,03/24,JCB 16 digit,2011-02-10
45,4510175513629910000,12/27,VISA 19 digit,1998-05-25
46,6554642463867700,01/29,Discover,1996-05-18
47,4829307419570,12/24,VISA 13 digit,2017-08-26
48,4790769996848330000,10/27,VISA 19 digit,2004-10-11
49,4032609197775420000,02/26,VISA 19 digit,2015-05-24
0,345835107861836,11/23,American Express,2011-12-11
1,30333881297971,10/32,Diners Club / Carte Blanche,1999-01-23
2,3528870773658970,01/24,JCB 16 digit,1997-11-04
3,2484103609879090,08/31,Mastercard,2008-01-11
4,4403572043142100,10/29,VISA 16 digit,2021-01-07
5,3578962333076840,12/29,JCB 16 digit,2022-08-13
6,630497074207,01/28,Maestro,2014-05-30
7,343366895205921,01/29,American Express,2014-06-12
8,6508493296824750,05/25,Discover,2006-09-25
9,213190391399658,08/24,JCB 15 digit,2000-12-22
10,3596700970254140,10/29,JCB 16 digit,1996-06-22
11,30139767171671,08/31,Diners Club / Carte Blanche,2018-06-18
12,676169692172,04/26,Maestro,2004-09-16
13,4029011854697,10/27,VISA 13 digit,2019-05-27
14,4194053863325050,05/24,VISA 16 digit,1998-01-04
15,4534672440375750,11/27,VISA 16 digit,2019-08-26
16,372115384818155,09/32,American Express,2011-08-24
17,347837147081613,08/31,American Express,2008-11-27
18,4535463650579720000,05/25,VISA 19 digit,1998-04-07
19,3522779015787820,03/28,JCB 16 digit,2012-10-11
20,3598597514803400,12/28,JCB 16 digit,1996-11-22
21,3530400736246970,09/28,JCB 16 digit,2015-07-29
22,4723837760617570000,10/25,VISA 19 digit,1998-12-18
23,2656555311231230,01/28,Mastercard,1995-04-06
24,576674974869,04/29,Maestro,2008-06-14
25,676386724220,12/28,Maestro,2016-09-23
26,6011502878617980,10/24,Discover,2007-08-05
27,676348808525,07/31,Maestro,2012-09-22
28,4453145527530930,02/29,VISA 16 digit,1994-06-26
29,4394509436847890,05/29,VISA 16 digit,2004-07-15
30,675964008584,10/28,Maestro,2016-11-22
31,4210451370909300000,02/25,VISA 19 digit,2008-11-13
32,6011288498942930,06/25,Discover,2009-12-13
33,3504923300805520,11/24,JCB 16 digit,2008-11-09
34,585078515517,04/26,Maestro,2013-04-21
35,4711075250928080000,08/28,VISA 19 digit,2012-03-07
36,4131986971266020,11/30,VISA 16 digit,2012-07-25
37,2534163614130070,12/27,Mastercard,2015-11-12
38,2407344573766610,09/31,Mastercard,2016-07-22
39,372882110452076,08/29,American Express,2005-12-14
40,502039766360,04/29,Maestro,2019-12-23
41,4367774640063,03/23,VISA 13 digit,1999-06-16
42,585979209251,04/29,Maestro,2017-03-19
43,564935528161,02/24,Maestro,1995-03-18
44,5584053145977860,02/28,Mastercard,2018-10-20
45,4334114209785,05/28,VISA 13 digit,2002-05-10
46,30411309834698,01/24,Diners Club / Carte Blanche,2013-03-17
47,6520162040187580,06/29,Discover,2000-06-13
48,4876334600464260,11/31,VISA 16 digit,2006-07-07
49,345575950536867,07/31,American Express,2020-05-18
0,4586390037620770,09/27,VISA 16 digit,2019-10-04
1,3591133644937080,10/24,JCB 16 digit,2006-12-19
2,4713013410398,01/28,VISA 13 digit,2019-09-13
3,4051810114453930,10/26,VISA 16 digit,2004-12-02
4,6562517491932290,05/29,Discover,2001-05-16
5,213142338918470,03/23,JCB 15 digit,2014-05-22
6,4622065715837380,07/31,VISA 16 digit,2009-04-15
7,2291399544685470,07/32,Mastercard,2013-04-16
8,30134190577461,11/22,Diners Club / Carte Blanche,2000-10-22
9,676177801104,01/24,Maestro,2012-09-27
10,4403635376943820,07/25,VISA 16 digit,1997-12-07
11,639009951919,04/26,Maestro,2008-01-12
12,4349411467511750,01/24,VISA 16 digit,1999-06-10
13,4154723068652520,06/25,VISA 16 digit,2014-06-01
14,373578710210315,01/26,American Express,2014-04-17
15,213109628578082,03/26,JCB 15 digit,2009-07-23
16,4628054244621390000,02/27,VISA 19 digit,2018-10-24
17,503819024020,06/28,Maestro,2003-01-20
18,4160710799971000,01/32,VISA 16 digit,2014-04-05
19,3594294494861640,12/23,JCB 16 digit,2009-02-27
20,639034743398,12/25,Maestro,2022-07-26
21,180018574424549,12/30,JCB 15 digit,2012-04-27
22,2273061769647660,02/25,Mastercard,1992-11-28
23,378629815134788,04/26,American Express,2004-03-10
24,3572264455630580,12/22,JCB 16 digit,1993-06-18
25,6011061367133790,05/32,Discover,2004-08-16
26,6011455816758070,02/25,Discover,2017-09-13
27,4052190188969700000,03/31,VISA 19 digit,2011-02-21
28,4492770534597,07/31,VISA 13 digit,2018-12-15
29,3525339956689470,07/26,JCB 16 digit,1995-12-23
30,4653040590438120,07/26,VISA 16 digit,2001-08-24
31,6531361813744900,12/24,Discover,1994-12-13
32,4067735370076910,05/24,VISA 16 digit,2016-04-20
33,630452328994,01/25,Maestro,2012-08-05
34,4564760824921,04/25,VISA 13 digit,2017-06-01
35,676159199881,05/28,Maestro,1998-01-12
36,6011943763408730,01/28,Discover,2020-09-22
37,213150510565571,07/24,JCB 15 digit,1995-06-20
38,2554333001521710,02/28,Mastercard,2009-09-03
39,4173707428874670000,12/23,VISA 19 digit,2017-11-14
40,180092459391966,12/25,JCB 15 digit,1997-11-08
41,3538894583089960,05/23,JCB 16 digit,2016-10-02
42,3508195688369740,07/30,JCB 16 digit,2000-07-28
43,3545911548558710,01/31,JCB 16 digit,2005-04-27
44,4572827549416190,03/30,VISA 16 digit,2021-04-21
45,3561177128101130,09/26,JCB 16 digit,1993-02-12
46,370168307165313,07/27,American Express,2004-08-29
47,4649457917094,03/23,VISA 13 digit,2019-12-25
48,3564801145122920,05/32,JCB 16 digit,2019-04-12
49,630490483710,09/30,Maestro,2020-05-08
0,4018050781281620,11/23,VISA 16 digit,2021-05-27
1,180092150656337,09/28,JCB 15 digit,1994-08-30
2,3598268382770550,03/26,JCB 16 digit,2001-05-02
3,30052444418458,03/23,Diners Club / Carte Blanche,2003-10-01
4,4339342749668,09/27,VISA 13 digit,1993-10-09
5,4785446928816910,01/28,VISA 16 digit,1993-08-10
6,4932265222735610,10/29,VISA 16 digit,2013-12-08
7,30250605804744,05/23,Diners Club / Carte Blanche,2020-05-28
